寫入日期,寫入時間,時制,中正圖書館,達賢圖書館,中正悅讀區_A,中正悅讀區_B,中正悅讀區_C
2024/10/31,9:00:07,PM,1,0,146,96,154
2024/10/31,10:00:08,PM,1,0,146,96,154
2024/10/31,11:00:07,PM,1,0,146,96,154
2024/11/1,12:00:07,AM,1,0,146,96,154
2024/11/1,1:00:06,AM,0,0,146,96,154
2024/11/1,2:00:07,AM,0,0,146,96,154
2024/11/1,3:00:07,AM,0,0,146,96,154
2024/11/1,4:00:07,AM,0,0,146,96,154
2024/11/1,5:00:07,AM,0,0,146,96,154
2024/11/1,6:00:07,AM,0,0,146,96,154
2024/11/1,7:00:07,AM,0,0,146,96,154
2024/11/1,8:00:06,AM,0,2,146,96,154
2024/11/1,9:00:06,AM,58,78,142,94,151
2024/11/1,10:00:08,AM,144,139,133,93,141
2024/11/1,11:00:06,AM,284,203,117,91,128
2024/11/1,12:00:07,PM,450,270,109,94,125
2024/11/1,1:00:07,PM,737,369,96,89,118
2024/11/1,2:00:07,PM,995,559,94,89,106
2024/11/1,3:00:07,PM,1194,685,80,81,101
2024/11/1,4:00:07,PM,1369,769,81,75,91
2024/11/1,5:00:07,PM,1618,880,77,72,83
2024/11/1,6:00:07,PM,1768,951,77,77,89
2024/11/1,7:00:07,PM,1881,1047,86,76,90
2024/11/1,8:00:07,PM,1993,1104,68,72,94
2024/11/1,9:00:07,PM,2038,1131,65,73,87
2024/11/1,10:00:07,PM,2079,1134,65,72,98
2024/11/1,11:00:07,PM,2089,1134,86,85,122
2024/11/2,12:00:07,AM,2092,1134,101,91,144
2024/11/2,2:00:08,AM,0,0,127,95,153
2024/11/2,3:00:08,AM,0,0,132,96,154
2024/11/2,4:00:07,AM,0,0,136,96,154
2024/11/2,5:00:07,AM,1,0,137,96,154
2024/11/2,6:00:08,AM,1,0,139,96,154
2024/11/2,7:00:07,AM,1,0,138,96,154
2024/11/2,8:00:07,AM,1,0,136,96,153
2024/11/2,9:00:07,AM,29,90,133,95,152
2024/11/2,10:00:07,AM,102,228,122,92,147
2024/11/2,11:00:07,AM,187,346,109,88,144
2024/11/2,12:00:07,PM,267,431,105,85,137
2024/11/2,1:00:07,PM,398,574,93,84,121
2024/11/2,2:00:07,PM,563,775,77,79,106
2024/11/2,3:00:07,PM,677,923,72,74,91
2024/11/2,4:00:07,PM,772,1013,61,70,85
2024/11/2,5:00:07,PM,845,1073,66,69,79
2024/11/2,6:00:07,PM,937,1146,67,69,80
2024/11/2,7:00:07,PM,1040,1213,69,73,93
2024/11/2,8:00:07,PM,1146,1259,67,74,80
2024/11/2,9:00:07,PM,1211,1288,67,76,87
2024/11/2,10:00:06,PM,1244,1291,76,78,98
2024/11/2,11:00:06,PM,1264,1291,94,91,117
2024/11/3,12:00:06,AM,1272,1291,103,90,133
2024/11/3,1:00:06,AM,0,0,116,93,146
2024/11/3,2:00:06,AM,0,0,129,96,148
2024/11/3,3:00:06,AM,0,0,134,95,149
2024/11/3,4:00:07,AM,0,0,135,95,149
2024/11/3,5:00:07,AM,0,0,137,95,149
2024/11/3,6:00:07,AM,0,0,139,95,149
2024/11/3,7:00:06,AM,0,0,140,96,153
2024/11/3,8:00:06,AM,0,0,141,95,151
2024/11/3,9:00:06,AM,54,0,136,93,145
2024/11/3,10:00:06,AM,155,0,109,91,142
2024/11/3,11:00:06,AM,290,0,87,82,124
2024/11/3,12:00:06,PM,401,0,78,82,114
2024/11/3,1:00:06,PM,559,0,70,77,101
2024/11/3,2:00:06,PM,803,0,50,67,76
2024/11/3,3:00:06,PM,997,0,35,60,61
2024/11/3,4:00:06,PM,1146,0,31,49,49
2024/11/3,5:00:06,PM,1260,0,31,50,49
2024/11/3,6:00:06,PM,1379,0,33,55,63
2024/11/3,7:00:06,PM,1543,0,41,57,60
2024/11/3,8:00:06,PM,1710,0,48,55,63
2024/11/3,9:00:06,PM,1802,0,50,60,79
2024/11/3,10:00:06,PM,1862,0,60,72,82
2024/11/3,11:00:06,PM,1883,0,76,78,107
2024/11/4,12:00:06,AM,1896,0,92,83,125
2024/11/4,1:00:06,AM,0,0,103,88,135
2024/11/4,2:00:06,AM,0,0,115,92,144
2024/11/4,3:00:06,AM,0,0,124,93,148
2024/11/4,4:00:06,AM,0,0,126,96,148
2024/11/4,5:00:08,AM,1,0,126,96,149
2024/11/4,6:00:06,AM,1,0,130,96,149
2024/11/4,7:00:06,AM,1,0,135,96,151
2024/11/4,8:00:06,AM,4,0,127,95,149
2024/11/4,9:00:07,AM,89,59,113,92,143
2024/11/4,10:00:07,AM,216,183,104,86,126
2024/11/4,11:00:06,AM,442,273,78,83,112
2024/11/4,12:00:06,PM,600,369,80,83,106
2024/11/4,1:00:07,PM,844,519,98,81,105
2024/11/4,2:00:06,PM,1062,704,93,76,96
2024/11/4,3:00:06,PM,1273,824,81,78,87
2024/11/4,4:00:06,PM,1565,927,74,74,80
2024/11/4,5:00:06,PM,1990,1118,43,57,43
2024/11/4,6:00:06,PM,2196,1219,35,58,53
2024/11/4,7:00:06,PM,2465,1329,28,51,37
2024/11/4,8:00:06,PM,2726,1416,22,45,25
2024/11/4,9:00:06,PM,2865,1432,18,42,24
2024/11/4,10:00:06,PM,2940,1440,28,43,36
2024/11/4,11:00:06,PM,2977,1440,76,58,84
2024/11/5,12:00:06,AM,2996,1440,84,73,120
2024/11/5,1:00:06,AM,0,0,103,84,132
2024/11/5,2:00:06,AM,0,0,115,90,145
2024/11/5,3:00:06,AM,0,0,125,91,145
2024/11/5,4:00:06,AM,0,0,128,93,148
2024/11/5,5:00:06,AM,0,0,129,93,150
2024/11/5,6:00:06,AM,0,0,128,93,149
2024/11/5,7:00:06,AM,0,1,126,93,150
2024/11/5,8:00:06,AM,0,1,125,90,149
2024/11/5,9:00:06,AM,98,40,132,92,145
2024/11/5,10:00:06,AM,207,123,121,90,136
2024/11/5,11:00:06,AM,436,198,103,89,131
2024/11/5,12:00:06,PM,720,285,95,87,122
2024/11/5,1:00:06,PM,1141,462,93,77,106
2024/11/5,2:00:06,PM,1442,646,77,74,94
2024/11/5,3:00:07,PM,1737,766,56,69,79
2024/11/5,4:00:06,PM,1978,878,61,68,80
2024/11/5,5:00:08,PM,2358,1019,51,58,69
2024/11/5,6:00:06,PM,2599,1114,50,63,79
2024/11/5,7:00:06,PM,2879,1247,38,56,66
2024/11/5,8:00:06,PM,3129,1328,34,49,56
2024/11/5,9:00:07,PM,3250,1350,35,47,43
